instance,|V|,|A|,|B|,T,Components,ComponentsSelection,Profits,Algorithm,%numVisitedBlocks,%numVisitedBlocksNodes,%repeatedArcs,%repeatedNodes,%tourTotalMinutes,%blocksTotalMinutes,%tourMinutes,%blocksMinutes
36,345,118680,40,120,single,random,random,BRKGA,97.5,49.85590778097983,4.046242774566474,20.172910662824208,14.92,84.395,15.022906912349596,84.9770930876504
37,287,82082,40,120,single,random,random,BRKGA,97.5,36.75496688741722,3.3222591362126246,12.582781456953642,14.707500000000001,85.28,14.709338667333418,85.29066133266659
38,374,139502,40,120,single,random,random,BRKGA,100.0,49.416342412451364,2.734375,14.785992217898833,11.6775,88.235,11.6877267609158,88.31227323908419
39,356,126380,40,120,single,random,random,BRKGA,100.0,59.375,0.0,1.3392857142857142,10.6775,86.78999999999999,10.954933695847334,89.04506630415266
40,269,72092,40,120,single,random,random,BRKGA,92.5,61.627906976744185,0.0,12.209302325581396,8.91875,90.94,8.931365553844806,91.06863444615519
41,356,126380,45,120,single,random,random,BRKGA,93.33333333333333,39.70037453183521,0.7518796992481203,7.865168539325842,13.548750000000002,85.89,13.625221555982955,86.37477844401704
42,367,134322,45,120,single,random,random,BRKGA,97.77777777777777,49.50819672131148,3.9473684210526314,18.360655737704917,12.89625,86.48,12.977195255405594,87.02280474459441
43,408,166056,45,120,single,random,random,BRKGA,91.11111111111111,46.99248120300752,0.37735849056603776,12.030075187969924,12.4925,87.21000000000001,12.529776083849452,87.47022391615056
44,335,111890,45,120,single,random,random,BRKGA,97.77777777777777,45.110410094637224,2.5316455696202533,11.67192429022082,14.438749999999999,85.14500000000001,14.499102514215421,85.50089748578459
45,392,153272,45,120,single,random,random,BRKGA,93.33333333333333,40.689655172413794,3.114186851211073,14.482758620689655,15.538749999999999,84.225,15.575547230331658,84.42445276966835
46,376,141000,50,120,single,random,random,BRKGA,90.0,42.00626959247649,2.5157232704402515,12.852664576802507,14.307500000000001,85.575,14.324331089029611,85.67566891097039
47,372,138012,50,120,single,random,random,BRKGA,86.0,45.486111111111114,9.40766550522648,15.972222222222221,12.919999999999998,86.80999999999999,12.95497844179284,87.04502155820715
48,357,127092,50,120,single,random,random,BRKGA,90.0,44.53125,1.1764705882352942,16.40625,10.983749999999999,88.475,11.043523068608845,88.95647693139115
49,359,128522,50,120,single,random,random,BRKGA,86.0,49.45454545454545,3.2846715328467155,14.181818181818182,14.264999999999999,85.325,14.323727281855609,85.67627271814439
50,460,211140,50,120,single,random,random,BRKGA,78.0,50.61224489795919,0.819672131147541,22.448979591836736,11.25125,88.69,11.257863995097122,88.74213600490287
51,427,181902,55,120,single,random,random,BRKGA,80.0,57.23076923076923,2.4691358024691357,16.615384615384617,12.891250000000001,86.52,12.967596725722693,87.03240327427731
52,329,107912,55,120,single,random,random,BRKGA,81.81818181818181,46.2882096069869,0.8771929824561403,7.423580786026201,10.90625,89.00999999999999,10.915391640498918,89.08460835950108
53,408,166056,55,120,single,random,random,BRKGA,80.0,41.30434782608695,3.7383177570093458,17.70186335403727,14.56,85.03500000000001,14.6192077915558,85.38079220844419
54,427,181902,55,120,single,random,random,BRKGA,80.0,52.10727969348659,3.8461538461538463,8.045977011494253,12.761249999999999,86.975,12.794996804070735,87.20500319592925
55,402,161202,55,120,single,random,random,BRKGA,78.18181818181819,50.58139534883721,7.288629737609329,20.058139534883722,15.500000000000002,84.42,15.512409927942356,84.48759007205764
56,479,228962,60,120,single,random,random,BRKGA,78.33333333333333,58.064516129032256,1.6194331983805668,9.67741935483871,11.383750000000001,88.53500000000001,11.393006818039659,88.60699318196035
57,450,202050,60,120,single,random,random,BRKGA,71.66666666666667,43.85382059800664,2.6666666666666665,18.93687707641196,15.475,84.28,15.51300686682372,84.4869931331763
58,446,198470,60,120,single,random,random,BRKGA,68.33333333333333,41.785714285714285,1.7921146953405018,11.071428571428571,13.685,86.26,13.692530891990595,86.30746910800941
59,482,231842,60,120,single,random,random,BRKGA,73.33333333333333,50.64102564102564,3.8585209003215435,17.94871794871795,14.495,85.48499999999999,14.497899579915982,85.502100420084
60,458,209306,60,120,single,random,random,BRKGA,80.0,62.72727272727273,2.73972602739726,7.7272727272727275,10.41875,89.545,10.422528166460342,89.57747183353966
61,495,244530,65,120,single,random,random,BRKGA,69.23076923076923,47.35099337748344,6.644518272425249,17.218543046357617,14.11125,85.61,14.150695062486681,85.84930493751332
62,533,283556,65,120,single,random,random,BRKGA,66.15384615384616,51.45985401459854,1.8315018315018314,13.138686131386862,12.854999999999999,87.145,12.854999999999999,87.145
63,450,202050,65,120,single,random,random,BRKGA,63.07692307692308,52.82258064516129,4.4534412955465585,17.338709677419356,12.16375,87.73499999999999,12.17607827925775,87.82392172074223
64,528,278256,65,120,single,random,random,BRKGA,69.23076923076923,49.41520467836257,5.278592375366569,19.005847953216374,15.48,84.32,15.511022044088179,84.48897795591182
65,502,251502,65,120,single,random,random,BRKGA,70.76923076923077,60.638297872340424,14.133333333333333,25.26595744680851,14.576249999999998,85.08500000000001,14.625794880156528,85.37420511984347
66,452,203852,70,120,single,random,random,BRKGA,71.42857142857143,39.440993788819874,1.2461059190031152,15.838509316770187,16.924999999999997,83.02,16.934313872629946,83.06568612737006
