instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
70,713,507656,70,120.0,SOL-STATS,35.0,10347.0,15.520500000000002,2237.0,13.422,7,87,274,50,41
71,740,546860,75,120.0,SOL-STATS,5.0,536.0,0.8040000000000003,536.0,3.216,1,13,13,1,0
72,666,442890,75,120.0,SOL-STATS,6.0,610.0,0.915,610.0,3.66,1,15,15,1,0
73,777,602952,75,120.0,SOL-STATS,74.0,70462.0,105.69300000000001,3165.0,18.990000000000002,13,134,1958,404,110
74,715,510510,75,120.0,SOL-STATS,42.0,72921.0,109.3815,2255.0,13.53,7,91,2098,498,377
75,907,821742,75,120.0,SOL-STATS,7.0,70.0,0.10499999999999998,70.0,0.42000000000000004,1,9,9,3,0
76,802,642402,80,120.0,SOL-STATS,11.0,2561.0,3.8415,1494.0,8.964,2,46,82,31,0
77,712,506232,80,120.0,SOL-STATS,5.0,446.0,0.669,446.0,2.676,1,24,24,1,0
78,741,548340,80,120.0,SOL-STATS,13.0,2456.0,3.6839999999999993,1918.0,11.508000000000001,2,71,85,16,0
79,829,686412,80,120.0,SOL-STATS,10.0,1480.0,2.2200000000000006,1049.0,6.2940000000000005,2,20,22,5,0
80,902,812702,80,120.0,SOL-STATS,10.0,1283.0,1.9245000000000005,565.0,3.39,2,28,42,4,0
9,91,8190,10,120.0,SOL-STATS,35.0,31982.0,47.973000000000006,3545.0,21.270000000000003,10,252,880,179,99
5,57,3192,5,120.0,SOL-STATS,27.0,19369.0,29.0535,1167.0,7.002000000000001,5,21,547,4,0
6,104,10712,10,120.0,SOL-STATS,31.0,63626.0,95.43900000000001,2878.0,17.268,10,74,1785,608,111
7,93,8556,10,120.0,SOL-STATS,44.0,67133.0,100.6995,2056.0,12.336,10,75,2005,470,289
8,110,11990,10,120.0,SOL-STATS,36.0,67365.0,101.0475,2555.0,15.33,10,76,1936,485,86
10,93,8556,10,120.0,SOL-STATS,31.0,20118.0,30.177,4597.0,27.582,10,225,526,139,109
11,123,15006,15,120.0,SOL-STATS,60.0,56380.0,84.57000000000002,6350.0,38.1,15,397,1456,386,349
