instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
34,242,58322,35,120.0,SOL-STATS,34.0,40753.0,61.12950000000001,12208.0,73.24799999999999,34,632,1081,264,211
35,262,68382,35,120.0,SOL-STATS,35.0,36471.0,54.70649999999999,12797.0,76.782,35,641,1061,300,268
36,272,73712,40,120.0,SOL-STATS,39.0,36580.0,54.87000000000002,13863.0,83.17799999999998,39,631,929,272,193
37,272,73712,40,120.0,SOL-STATS,39.0,36400.0,54.599999999999994,13870.0,83.22,39,690,994,249,220
38,272,73712,40,120.0,SOL-STATS,39.0,36435.0,54.65249999999999,13726.0,82.35599999999998,39,643,971,254,175
39,274,74802,40,120.0,SOL-STATS,39.0,36787.0,55.180499999999995,13862.0,83.172,39,682,998,263,197
3,36,1260,5,120.0,SOL-STATS,5.0,25266.0,37.899,2356.0,14.136,5,102,617,143,150
40,274,74802,40,120.0,SOL-STATS,39.0,36907.0,55.360500000000016,13792.0,82.752,39,709,959,231,222
41,293,85556,45,120.0,SOL-STATS,43.0,32422.0,48.632999999999996,15371.0,92.22600000000001,43,632,879,235,163
42,291,84390,45,120.0,SOL-STATS,44.0,31463.0,47.19450000000002,15403.0,92.41799999999999,44,606,804,232,149
43,301,90300,45,120.0,SOL-STATS,44.0,32681.0,49.02149999999999,15601.0,93.60600000000001,44,742,943,213,185
44,301,90300,45,120.0,SOL-STATS,44.0,32681.0,49.02149999999999,15601.0,93.60600000000001,44,742,943,213,185
45,288,82656,45,120.0,SOL-STATS,44.0,30751.0,46.12650000000001,15726.0,94.35600000000001,44,588,769,217,143
46,324,104652,50,120.0,SOL-STATS,42.0,41951.0,62.92650000000002,13278.0,79.66800000000002,42,661,1167,302,242
47,320,102080,50,120.0,SOL-STATS,47.0,31882.0,47.82300000000001,16208.0,97.24800000000002,47,581,767,183,110
48,311,96410,50,120.0,SOL-STATS,43.0,41057.0,61.585499999999996,13558.0,81.34800000000001,43,663,1056,276,254
49,315,98910,50,120.0,SOL-STATS,41.0,39832.0,59.748000000000005,13620.0,81.72000000000001,41,507,1000,278,191
4,47,2162,5,120.0,SOL-STATS,5.0,9010.0,13.515,2468.0,14.808,5,79,216,36,19
50,325,105300,50,120.0,SOL-STATS,43.0,39346.0,59.019000000000005,13958.0,83.74800000000002,43,613,996,253,181
51,339,114582,55,120.0,SOL-STATS,41.0,50784.0,76.176,11077.0,66.462,41,765,1408,339,330
52,345,118680,55,120.0,SOL-STATS,32.0,62212.0,93.31800000000001,7332.0,43.992,32,536,1695,434,441
53,349,121452,55,120.0,SOL-STATS,41.0,40113.0,60.1695,13671.0,82.02600000000001,41,638,1096,284,179
54,332,109892,55,120.0,SOL-STATS,39.0,44904.0,67.356,12282.0,73.69200000000001,39,714,1321,330,308
55,357,127092,55,120.0,SOL-STATS,36.0,55674.0,83.51100000000001,9419.0,56.513999999999996,36,442,1412,377,303
56,374,139502,60,120.0,SOL-STATS,37.0,56457.0,84.68550000000002,9239.0,55.434,37,620,1696,441,420
57,346,119370,60,120.0,SOL-STATS,41.0,53347.0,80.0205,10548.0,63.288000000000004,41,664,1566,403,387
58,346,119370,60,120.0,SOL-STATS,38.0,55696.0,83.54400000000001,9413.0,56.478,38,516,1350,389,282
59,346,119370,60,120.0,SOL-STATS,38.0,55696.0,83.54400000000001,9413.0,56.478,38,516,1350,389,282
5,34,1122,5,120.0,SOL-STATS,5.0,9337.0,14.005500000000001,2198.0,13.188000000000002,5,73,248,57,26
60,347,120062,60,120.0,SOL-STATS,45.0,45528.0,68.292,12542.0,75.25200000000001,45,704,1244,330,284
61,374,139502,65,120.0,SOL-STATS,40.0,56529.0,84.7935,9486.0,56.91599999999999,40,716,1584,395,380
62,374,139502,65,120.0,SOL-STATS,45.0,48316.0,72.474,11955.0,71.73,45,571,1247,369,218
63,376,141000,65,120.0,SOL-STATS,44.0,43233.0,64.8495,13064.0,78.38400000000001,44,636,1160,299,281
64,374,139502,65,120.0,SOL-STATS,40.0,56848.0,85.27200000000002,9206.0,55.236,40,489,1517,409,368
65,372,138012,65,120.0,SOL-STATS,34.0,63197.0,94.79549999999999,7380.0,44.27999999999999,34,490,1723,378,429
66,387,149382,70,120.0,SOL-STATS,48.0,31458.0,47.187,16220.0,97.32000000000004,48,562,776,212,146
67,393,154056,70,120.0,SOL-STATS,44.0,28558.0,42.83700000000002,16559.0,99.35400000000001,44,443,690,166,168
68,387,149382,70,120.0,SOL-STATS,37.0,59424.0,89.13600000000002,8533.0,51.197999999999986,37,594,1667,430,474
69,399,158802,70,120.0,SOL-STATS,5.0,853.0,1.2795000000000005,1429.0,8.574000000000002,5,19,19,2,0
6,53,2756,10,120.0,SOL-STATS,10.0,20343.0,30.5145,4753.0,28.518000000000004,10,124,421,87,105
70,384,147072,70,120.0,SOL-STATS,35.0,63810.0,95.71499999999999,7389.0,44.33399999999999,35,324,1583,392,365
71,417,173472,75,120.0,SOL-STATS,4.0,311.0,0.4664999999999999,1989.0,11.934000000000001,4,25,25,1,0
72,421,176820,75,120.0,SOL-STATS,6.0,778.0,1.1670000000000016,2529.0,15.174,6,17,17,4,0
73,420,175980,75,120.0,SOL-STATS,5.0,1431.0,2.1464999999999996,1551.0,9.306000000000001,5,46,50,15,0
74,414,170982,75,120.0,SOL-STATS,4.0,445.0,0.6675000000000004,1652.0,9.912,4,20,20,2,0
75,414,170982,75,120.0,SOL-STATS,4.0,445.0,0.6675000000000004,1652.0,9.912,4,20,20,2,0
