instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs,Components,ComponentsSelection,Profits,Algorithm
4,51,2550,5,120,SOL-STATS,22,25663,38.4945,2573,15.438,5,78,680,29,10,multiple,random,random,IP
50,447,199362,50,120,SOL-STATS,12,1514,2.271,2058,12.348,4,14,14,3,0,multiple,random,random,IP
51,724,523452,55,120,SOL-STATS,24,6419,9.6285,2494,14.964,7,66,141,34,9,multiple,random,random,IP
52,528,278256,55,120,SOL-STATS,7,182,0.273,182,1.092,1,8,8,1,0,multiple,random,random,IP
53,640,408960,55,120,SOL-STATS,6,418,0.627,418,2.508,1,23,23,9,0,multiple,random,random,IP
54,466,216690,55,120,SOL-STATS,5,690,1.035,829,4.974,2,50,50,8,0,multiple,random,random,IP
55,519,268842,55,120,SOL-STATS,10,1833,2.7495,1295,7.77,2,55,71,15,6,multiple,random,random,IP
56,572,326612,60,120,SOL-STATS,10,1771,2.6565,1071,6.426,2,11,18,2,0,multiple,random,random,IP
57,569,323192,60,120,SOL-STATS,7,462,0.693,462,2.772,1,9,9,1,0,multiple,random,random,IP
58,788,620156,60,120,SOL-STATS,10,2491,3.7365,1918,11.508,2,72,90,17,0,multiple,random,random,IP
59,536,286760,60,120,SOL-STATS,13,1538,2.307,1151,6.906,2,19,25,2,0,multiple,random,random,IP
60,582,338142,60,120,SOL-STATS,7,605,0.9075,605,3.63,1,21,21,1,0,multiple,random,random,IP
61,650,421850,65,120,SOL-STATS,5,498,0.747,498,2.988,1,5,5,1,0,multiple,random,random,IP
62,690,475410,65,120,SOL-STATS,7,434,0.651,434,2.604,1,8,8,1,0,multiple,random,random,IP
63,834,694722,65,120,SOL-STATS,12,1364,2.046,876,5.256,2,41,48,13,5,multiple,random,random,IP
64,562,315282,65,120,SOL-STATS,6,452,0.678,452,2.712,1,22,22,1,0,multiple,random,random,IP
65,694,480942,65,120,SOL-STATS,10,1651,2.4765,1239,7.434,2,14,14,5,0,multiple,random,random,IP
66,675,454950,70,120,SOL-STATS,13,1397,2.0955,632,3.792,3,29,43,4,0,multiple,random,random,IP
67,786,617010,70,120,SOL-STATS,7,488,0.732,488,2.928,1,19,19,7,0,multiple,random,random,IP
68,979,957462,70,120,SOL-STATS,21,3011,4.5165,1720,10.32,5,110,164,13,3,multiple,random,random,IP
69,856,731880,70,120,SOL-STATS,9,1416,2.124,830,4.98,2,18,36,4,0,multiple,random,random,IP
70,713,507656,70,120,SOL-STATS,35,10347,15.5205,2237,13.422,7,87,274,50,41,multiple,random,random,IP
71,740,546860,75,120,SOL-STATS,5,536,0.804,536,3.216,1,13,13,1,0,multiple,random,random,IP
72,666,442890,75,120,SOL-STATS,6,610,0.915,610,3.66,1,15,15,1,0,multiple,random,random,IP
73,777,602952,75,120,SOL-STATS,74,70462,105.693,3165,18.99,13,134,1958,404,110,multiple,random,random,IP
74,715,510510,75,120,SOL-STATS,42,72921,109.3815,2255,13.53,7,91,2098,498,377,multiple,random,random,IP
75,907,821742,75,120,SOL-STATS,7,70,0.105,70,0.42,1,9,9,3,0,multiple,random,random,IP
76,802,642402,80,120,SOL-STATS,11,2561,3.8415,1494,8.964,2,46,82,31,0,multiple,random,random,IP
77,712,506232,80,120,SOL-STATS,5,446,0.669,446,2.676,1,24,24,1,0,multiple,random,random,IP
78,741,548340,80,120,SOL-STATS,13,2456,3.684,1918,11.508,2,71,85,16,0,multiple,random,random,IP
79,829,686412,80,120,SOL-STATS,10,1480,2.22,1049,6.294,2,20,22,5,0,multiple,random,random,IP
80,902,812702,80,120,SOL-STATS,10,1283,1.9245,565,3.39,2,28,42,4,0,multiple,random,random,IP
9,91,8190,10,120,SOL-STATS,35,31982,47.973,3545,21.27,10,252,880,179,99,multiple,random,random,IP
5,57,3192,5,120,SOL-STATS,27,19369,29.0535,1167,7.002,5,21,547,4,0,multiple,random,random,IP
6,104,10712,10,120,SOL-STATS,31,63626,95.439,2878,17.268,10,74,1785,608,111,multiple,random,random,IP
7,93,8556,10,120,SOL-STATS,44,67133,100.6995,2056,12.336,10,75,2005,470,289,multiple,random,random,IP
8,110,11990,10,120,SOL-STATS,36,67365,101.0475,2555,15.33,10,76,1936,485,86,multiple,random,random,IP
10,93,8556,10,120,SOL-STATS,31,20118,30.177,4597,27.582,10,225,526,139,109,single,sparse,random,IP
11,123,15006,15,120,SOL-STATS,60,56380,84.57,6350,38.1,15,397,1456,386,349,single,sparse,random,IP
12,98,9506,15,120,SOL-STATS,70,34518,51.777,5868,35.208,15,298,856,221,189,single,sparse,random,IP
13,120,14280,15,120,SOL-STATS,65,56605,84.9075,6100,36.6,15,442,1535,410,397,single,sparse,random,IP
14,97,9312,15,120,SOL-STATS,66,37217,55.8255,5831,34.986,15,403,930,198,222,single,sparse,random,IP
15,140,19460,15,120,SOL-STATS,66,41568,62.352,6754,40.524,15,396,1047,281,215,single,sparse,random,IP
16,151,22650,20,120,SOL-STATS,90,57706,86.559,6921,41.526,19,466,1412,314,415,single,sparse,random,IP
17,150,22350,20,120,SOL-STATS,78,48536,72.804,7119,42.714,20,462,1283,328,329,single,sparse,random,IP
18,133,17556,20,120,SOL-STATS,75,46377,69.5655,7446,44.676,20,399,1050,255,236,single,sparse,random,IP
19,133,17556,20,120,SOL-STATS,75,51770,77.655,7351,44.106,20,419,1309,344,335,single,sparse,random,IP
1,37,1332,5,120,SOL-STATS,23,12002,18.003,2327,13.962,5,81,324,57,21,single,sparse,random,IP
20,139,19182,20,120,SOL-STATS,81,50673,76.0095,7256,43.536,20,485,1364,301,254,single,sparse,random,IP
21,217,46872,25,120,SOL-STATS,92,49440,74.16,8959,53.754,25,660,1445,372,329,single,sparse,random,IP
22,190,35910,25,120,SOL-STATS,98,46128,69.192,8515,51.09,25,479,1190,357,252,single,sparse,random,IP
23,189,35532,25,120,SOL-STATS,120,42349,63.5235,8685,52.11,25,482,1120,265,278,single,sparse,random,IP
24,186,34410,25,120,SOL-STATS,119,47952,71.928,8794,52.764,25,544,1291,344,317,single,sparse,random,IP
25,190,35910,25,120,SOL-STATS,87,50671,76.0065,8763,52.578,25,546,1323,369,270,single,sparse,random,IP
26,207,42642,30,120,SOL-STATS,126,47011,70.5165,10773,64.638,30,571,1218,335,286,single,sparse,random,IP
27,205,41820,30,120,SOL-STATS,132,47269,70.9035,10486,62.916,30,621,1259,308,278,single,sparse,random,IP
28,236,55460,30,120,SOL-STATS,125,47681,71.5215,10630,63.78,30,595,1284,350,250,single,sparse,random,IP
29,218,47306,30,120,SOL-STATS,119,45109,67.6635,10861,65.166,29,641,1162,296,287,single,sparse,random,IP
2,35,1190,5,120,SOL-STATS,15,9593,14.3895,2066,12.396,5,67,236,36,19,single,sparse,random,IP
30,207,42642,30,120,SOL-STATS,110,44527,66.7905,10481,62.886,30,525,1155,316,233,single,sparse,random,IP
31,250,62250,35,120,SOL-STATS,164,37995,56.9925,12291,73.746,35,611,1036,290,172,single,sparse,random,IP
32,240,57360,35,120,SOL-STATS,153,39925,59.8875,12681,76.086,34,587,994,256,196,single,sparse,random,IP
33,243,58806,35,120,SOL-STATS,129,40778,61.167,12359,74.154,35,662,1119,308,261,single,sparse,random,IP
34,242,58322,35,120,SOL-STATS,145,40753,61.1295,12337,74.022,34,629,1081,264,211,single,sparse,random,IP
35,262,68382,35,120,SOL-STATS,130,41215,61.8225,12211,73.266,34,667,1147,305,265,single,sparse,random,IP
36,272,73712,40,120,SOL-STATS,140,36493,54.7395,14021,84.126,39,739,960,250,233,single,sparse,random,IP
37,272,73712,40,120,SOL-STATS,152,35376,53.064,13870,83.22,39,659,964,261,200,single,sparse,random,IP
38,272,73712,40,120,SOL-STATS,157,37013,55.5195,13726,82.356,39,666,991,254,190,single,sparse,random,IP
39,274,74802,40,120,SOL-STATS,159,35868,53.802,13657,81.942,39,658,937,256,186,single,sparse,random,IP
3,36,1260,5,120,SOL-STATS,16,25266,37.899,2356,14.136,5,102,617,143,150,single,sparse,random,IP
40,274,74802,40,120,SOL-STATS,153,36484,54.726,13773,82.638,39,744,1025,271,242,single,sparse,random,IP
41,293,85556,45,120,SOL-STATS,187,30357,45.5355,15971,95.826,44,672,814,213,160,single,sparse,random,IP
42,291,84390,45,120,SOL-STATS,175,30843,46.2645,15989,95.934,45,601,792,207,144,single,sparse,random,IP
43,301,90300,45,120,SOL-STATS,162,31097,46.6455,15981,95.886,44,658,829,238,168,single,sparse,random,IP
44,301,90300,45,120,SOL-STATS,185,30903,46.3545,16048,96.288,44,655,792,215,140,single,sparse,random,IP
45,288,82656,45,120,SOL-STATS,180,33804,50.706,15129,90.774,42,661,876,235,174,single,sparse,random,IP
46,324,104652,50,120,SOL-STATS,167,45989,68.9835,11683,70.098,37,607,1286,335,288,single,sparse,random,IP
47,320,102080,50,120,SOL-STATS,193,31073,46.6095,16171,97.026,46,648,817,227,119,single,sparse,random,IP
48,311,96410,50,120,SOL-STATS,186,36348,54.522,14863,89.178,44,733,973,263,202,single,sparse,random,IP
49,315,98910,50,120,SOL-STATS,184,41144,61.716,13492,80.952,41,673,1097,286,278,single,sparse,random,IP
4,47,2162,5,120,SOL-STATS,13,9010,13.515,2468,14.808,5,79,216,36,19,single,sparse,random,IP
50,325,105300,50,120,SOL-STATS,184,32348,48.522,15767,94.602,45,692,884,235,168,single,sparse,random,IP
51,339,114582,55,120,SOL-STATS,188,48159,72.2385,11445,68.67,39,534,1270,354,256,single,sparse,random,IP
52,345,118680,55,120,SOL-STATS,197,39953,59.9295,13882,83.292,42,621,1109,292,235,single,sparse,random,IP
53,349,121452,55,120,SOL-STATS,157,52399,78.5985,10169,61.014,34,684,1563,406,383,single,sparse,random,IP
54,332,109892,55,120,SOL-STATS,174,44653,66.9795,12619,75.714,39,558,1179,328,264,single,sparse,random,IP
55,357,127092,55,120,SOL-STATS,14,421,0.6315,1041,6.246,4,21,21,2,0,single,sparse,random,IP
56,374,139502,60,120,SOL-STATS,19,404,0.606,1041,6.246,4,20,20,2,0,single,sparse,random,IP
57,346,119370,60,120,SOL-STATS,172,49568,74.352,11075,66.45,40,714,1384,320,332,single,sparse,random,IP
